1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","15.325","26.8821885765534","20.6513382393625","48.9241489254805"
"Year 1 Jan 01 02:00","0","0","12.875","26.4647576365099","19.0753835786506","17.9745752196787"
"Year 1 Jan 01 03:00","0","0","12.05","26.0119675067941","18.2671421901006","-12.2693439601136"
"Year 1 Jan 01 04:00","0","0","10.875","25.5370786023797","17.5454188662882","-44.2029656514824"
"Year 1 Jan 01 05:00","0","0","12.825","25.0525587692063","17.52604706679","-73.1776401786736"
"Year 1 Jan 01 06:00","0","0","13.15","24.5905626622804","17.2662387099341","-100.429109271181"
"Year 1 Jan 01 07:00","0","0","13.6","24.1670967796034","17.0160270678622","-123.126575792356"
"Year 1 Jan 01 08:00","1","0","14.7","23.7852124920432","17.2614764428082","-143.087797010482"
"Year 1 Jan 01 09:00","16.25","177","17.475","23.4492411333429","21.0084420332619","-159.873684149416"
"Year 1 Jan 01 10:00","53.5","754.75","20.7","23.2317299416603","33.0397806100257","-169.466995648823"
"Year 1 Jan 01 11:00","60.5","894.25","24.125","23.3750314586036","39.8875036935902","-147.327183686192"
"Year 1 Jan 01 12:00","90","861","26.05","24.0133751898443","44.73027292631","-84.4290785273531"
"Year 1 Jan 01 13:00","172","655","27","25.0411688167503","45.938485273525","5.56503987631858"
"Year 1 Jan 01 14:00","298","284.75","26.45","26.2662197662678","42.3192813042389","103.524015193589"
"Year 1 Jan 01 15:00","269.75","164.25","25.9","27.3754368090165","38.6473578138573","199.057348431546"
"Year 1 Jan 01 16:00","199.25","95.25","24.9","28.2175420712659","35.0431165523769","262.722398547265"
"Year 1 Jan 01 17:00","135.5","102.5","24.3","28.734778733934","32.9767074837981","293.080610800231"
"Year 1 Jan 01 18:00","44.25","17.25","23.15","28.9865090749124","29.0032064246684","295.393462918135"
"Year 1 Jan 01 19:00","0","0","22.425","28.9991956702226","26.6153706176228","276.989541096035"
"Year 1 Jan 01 20:00","0","0","21.325","28.8118992821997","25.3676367081641","240.827082636031"
"Year 1 Jan 01 21:00","0","0","20.775","28.4915442030331","24.8965484720583","198.011662744796"
"Year 1 Jan 01 22:00","0","0","19.725","28.1210617131521","24.071146137118","153.690429573953"
"Year 1 Jan 01 23:00","0","0","18.8","27.7379063164453","23.0866740504531","114.63570727337"
"Year 1 Jan 02 00:00","0","0","17.1","27.3517392665226","22.0085596976278","78.9392709777232"
"Year 1 Jan 02 01:00","0","0","15.775","26.9540080883706","21.150230760051","46.6520339743814"
"Year 1 Jan 02 02:00","0","0","14.375","26.5481291677971","20.1103190198041","15.4958876774259"
"Year 1 Jan 02 03:00","0","0","14","26.1318475772328","19.191727034624","-13.4737733828684"
"Year 1 Jan 02 04:00","0","0","13.55","25.708819052014","18.5886977365955","-42.0458581198073"
"Year 1 Jan 02 05:00","0","0","13.25","25.2786936501172","18.1162100870343","-67.7765044086056"
"Year 1 Jan 02 06:00","0","0","12.3","24.8510004739081","17.2491427742934","-89.9622514734952"
"Year 1 Jan 02 07:00","0","0","12.3","24.4323329852677","16.7788067052327","-110.824215296395"
"Year 1 Jan 02 08:00","5.75","7","12.85","24.0264432972253","17.0749607800294","-131.916592785724"
"Year 1 Jan 02 09:00","30.5","197","15.4","23.6505302989425","21.2541735266089","-150.887172719253"
"Year 1 Jan 02 10:00","54.75","744.75","18.45","23.4010491286352","33.3892504369792","-162.32402500824"
"Year 1 Jan 02 11:00","66.75","863","22.05","23.5294999556789","40.2587632308141","-140.525449080569"
"Year 1 Jan 02 12:00","78.75","896","24.275","24.1655556380971","43.9198804960426","-77.8423468242416"
"Year 1 Jan 02 13:00","70.75","976.5","25.9","25.1819837698363","46.9780926261224","9.63282184852734"
"Year 1 Jan 02 14:00","125.25","791.5","26.075","26.3898532803654","47.0784654539917","107.653711444621"
"Year 1 Jan 02 15:00","163","592","26.3","27.5962733929727","44.6131921545625","210.176844126538"
"Year 1 Jan 02 16:00","210.75","256","25.65","28.66631939538","38.5395004217678","294.574306992077"
"Year 1 Jan 02 17:00","114.5","358.75","25.1","29.4201605213054","37.5591335223865","345.732863914308"
"Year 1 Jan 02 18:00","53.25","34.5","23.575","29.8672851947519","30.8214480860342","363.245284075418"
"Year 1 Jan 02 19:00","0","0","22.5","30.0078249340559","27.3081027355439","352.468656250572"
"Year 1 Jan 02 20:00","0","0","21.175","29.8494871137779","25.6340968304274","312.628802486003"
"Year 1 Jan 02 21:00","0","0","20.875","29.484429668284","24.8031430284785","258.777403117995"
"Year 1 Jan 02 22:00","0","0","20.3","29.0327498207991","24.1612102694018","200.621322310156"
"Year 1 Jan 02 23:00","0","0","20.025","28.5625950625235","23.6587943086254","147.718263647038"
"Year 1 Jan 03 00:00","0","0","18.65","28.1084440794302","22.7140833354159","101.571998480465"
"Year 1 Jan 03 01:00","0","0","17.3","27.6663338850874","21.8496422963512","63.6607807947184"
"Year 1 Jan 03 02:00","0","0","15.5","27.2354362655284","20.8481911596757","28.9096703895856"
"Year 1 Jan 03 03:00","0","0","14.7","26.802367995545","20.0053306488835","-1.9419970613406"
"Year 1 Jan 03 04:00","0","0","13.7","26.3697620498282","19.1335492495597","-31.7396870204371"
"Year 1 Jan 03 05:00","0","0","10.85","25.927389061422","16.9809435781787","-57.891039700748"
